row ID;row m/z;row retention time;20250402_PMA_tp24_dbgi_007523_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007810_01_01.mzML Peak area;20250402_PMA_tp24_dbgi_007811_01_01.mzML Peak area
500;256.1392279;0.7014878;138468.86;354487.03;1649875.2
501;261.0946656;0.7014878;227030.16;480724.6;3009318
502;204.1346161;0.7024097;102745.59;0;0
503;158.0925849;0.70639664;0;98716.11;0
504;174.1126141;0.70639664;0;112690.83;0
505;188.1282981;0.70639664;0;644108.44;0
506;188.164741;0.70639664;0;237735.67;0
507;216.1596242;0.70639664;0;653040.7;0
508;212.1396888;0.7091018;0;60235.406;99662.195
509;166.0727667;0.7121549;0;0;61201.58
510;307.1502337;0.7121549;0;0;57368.387
511;141.1150595;0.71433824;0;105639.78;0
512;160.0525463;0.71433824;0;120304.14;0
513;178.0631636;0.71433824;0;528273.25;0
514;180.0602612;0.71433824;0;163660.6;0
515;214.1077837;0.71433824;0;48574.24;0
516;222.1125508;0.71433824;0;63032.78;0
517;232.1544926;0.71433824;0;289882.84;0
518;280.1182018;0.71433824;0;43532.707;0
519;235.1192966;0.7205049;0;0;229654.02
520;328.1967853;0.7205049;0;0;66973.74
521;284.1343603;0.7289568;0;0;209343.1
522;130.1228384;0.73021317;0;345426.53;0
523;130.9665964;0.73021317;0;74801.664;0
524;202.143565;0.73021317;0;442757.06;0
525;215.053034;0.73021317;0;76652.27;0
526;281.2224435;0.73021317;0;328749.34;0
527;346.0548368;0.73021317;0;94707.63;0
528;291.1051618;0.73354954;0;159115.47;105495.516
529;319.1001971;0.7363016;0;79390.28;424297
530;303.1054195;0.73735476;0;0;56327.24
531;286.1494734;0.73814225;0;62016.22;0
532;136.0760468;0.75423795;0;0;115815.9
533;165.0550843;0.75423795;0;0;101921.57
534;332.1341256;0.75423795;0;0;70844.305
535;182.0814873;0.75652426;102355.09;199461.56;509909.12
536;141.9588452;0.7594694;1391336.1;1301571;0
537;124.112283;0.7618754;0;59128.277;0
538;200.1050261;0.7618754;0;127110.086;0
539;200.1426724;0.7618754;0;718596.06;0
540;202.1332045;0.7618754;0;880307.56;0
541;187.1080979;0.7626171;0;0;202075.53
542;142.1228209;0.7697795;0;1.18E+07;0
543;142.1314137;0.7697795;0;52078.2;0
544;200.1090001;0.7697795;0;217244.7;0
545;200.1141973;0.7697795;0;724937.9;0
546;228.1230787;0.7697795;0;407879.38;0
547;377.2199326;0.7697795;0;175434.45;0
548;435.2260921;0.7697795;0;1431227.4;0
549;437.2228468;0.7697795;0;452441.4;0
550;462.2447582;0.7697795;0;173460.31;0
